Conjunto,MSE,RMSE,R2,MAE
Entrenamiento,475.56022092080207,21.80734327974873,0.9994535060710448,15.397338483419327
Prueba,475.56022092080207,21.80734327974873,0.9994535060710448,15.397338483419327
CV_Media,1282.954846885548,35.81835907583635,,
CV_Std,,2.1142444215180767,,
