Modelo,MSE,RMSE,R²,MAE
SVR Básico (Prueba),803856.3422103735,896.5803601520465,0.07624189020793459,736.4386595637508
SVR Optimizado (Entrenamiento),475.56022092080207,21.80734327974873,0.9994535060710448,15.397338483419327
SVR Optimizado (Prueba),475.56022092080207,21.80734327974873,0.9994535060710448,15.397338483419327
Validación Cruzada (Media),1282.954846885548,35.81835907583635,,
Mejor Kernel: LINEAR,927.4379363759466,30.453865704963412,0.9989342270875162,24.904919507293737
